REFERENCE_PERIOD,NAICS,STATUS,CALCULATED_VALUE
2007-11-01,Chemical manufacturing,,4654000000.0
2007-11-01,Plastics and rubber products manufacturing,,2531000000.0
2007-11-01,Durable goods,,31609000000.0
2007-11-01,Wood product manufacturing,,2450000000.0
2007-11-01,Non-metallic mineral product manufacturing,,1328000000.0
2007-11-01,Primary metal manufacturing,,4230000000.0
2007-11-01,Fabricated metal product manufacturing,,3451000000.0
2007-11-01,Machinery manufacturing,,3043000000.0
2007-11-01,Computer and electronic product manufacturing,,1638000000.0
2007-11-01,"Electrical equipment, appliance and component manufacturing",,989000000.0
2007-11-01,Transportation equipment manufacturing,,12341000000.0
2007-11-01,Motor vehicle manufacturing,,6851000000.0
2007-11-01,Motor vehicle body and trailer manufacturing,,359000000.0
2007-11-01,Motor vehicle parts manufacturing,,2610000000.0
2007-11-01,Aerospace product and parts manufacturing,,1764000000.0
2007-11-01,Railroad rolling stock manufacturing,,236000000.0
2007-11-01,Ship and boat building,,198000000.0
2007-11-01,Other transportation equipment manufacturing,,325000000.0
2007-11-01,Furniture and related product manufacturing,,1142000000.0
2007-11-01,Miscellaneous manufacturing,,998000000.0
2007-12-01,"Total, durable and non-durable goods",,54479000000.0
2007-12-01,Non-durable goods,,25917000000.0
2007-12-01,Food manufacturing,,7188000000.0
2007-12-01,Beverage and tobacco product manufacturing,,1095000000.0
2007-12-01,Textile mills,,158000000.0
2007-12-01,Textile product mills,,216000000.0
2007-12-01,Apparel manufacturing,,277000000.0
2007-12-01,Leather and allied product manufacturing,,45000000.0
2007-12-01,Paper manufacturing,,2640000000.0
2007-12-01,Printing and related support activities,,933000000.0
2007-12-01,Petroleum and coal products manufacturing,,6114000000.0
2007-12-01,Chemical manufacturing,,4774000000.0
2007-12-01,Plastics and rubber products manufacturing,,2477000000.0
2007-12-01,Durable goods,,28562000000.0
2007-12-01,Wood product manufacturing,,2349000000.0
2007-12-01,Non-metallic mineral product manufacturing,,1280000000.0
2007-12-01,Primary metal manufacturing,,4378000000.0
2007-12-01,Fabricated metal product manufacturing,,3429000000.0
2007-12-01,Machinery manufacturing,,2959000000.0
2007-12-01,Computer and electronic product manufacturing,,1573000000.0
2007-12-01,"Electrical equipment, appliance and component manufacturing",,893000000.0
2007-12-01,Transportation equipment manufacturing,,9618000000.0
2007-12-01,Motor vehicle manufacturing,,4547000000.0
2007-12-01,Motor vehicle body and trailer manufacturing,,362000000.0
2007-12-01,Motor vehicle parts manufacturing,,2444000000.0
2007-12-01,Aerospace product and parts manufacturing,,1589000000.0
2007-12-01,Railroad rolling stock manufacturing,,207000000.0
2007-12-01,Ship and boat building,,171000000.0
2007-12-01,Other transportation equipment manufacturing,,298000000.0
2007-12-01,Furniture and related product manufacturing,,1144000000.0
2007-12-01,Miscellaneous manufacturing,,939000000.0
2008-01-01,"Total, durable and non-durable goods",,54275000000.0
2008-01-01,Non-durable goods,,25504000000.0
2008-01-01,Food manufacturing,,7260000000.0
2008-01-01,Beverage and tobacco product manufacturing,,1040000000.0
2008-01-01,Textile mills,,168000000.0
2008-01-01,Textile product mills,,207000000.0
2008-01-01,Apparel manufacturing,,252000000.0
2008-01-01,Leather and allied product manufacturing,,41000000.0
2008-01-01,Paper manufacturing,,2634000000.0
2008-01-01,Printing and related support activities,,926000000.0
2008-01-01,Petroleum and coal products manufacturing,,6056000000.0
2008-01-01,Chemical manufacturing,,4527000000.0
2008-01-01,Plastics and rubber products manufacturing,,2395000000.0
2008-01-01,Durable goods,,28771000000.0
2008-01-01,Wood product manufacturing,,2281000000.0
2008-01-01,Non-metallic mineral product manufacturing,,1335000000.0
2008-01-01,Primary metal manufacturing,,4434000000.0
2008-01-01,Fabricated metal product manufacturing,,3393000000.0
2008-01-01,Machinery manufacturing,,2989000000.0
2008-01-01,Computer and electronic product manufacturing,,1624000000.0
2008-01-01,"Electrical equipment, appliance and component manufacturing",,949000000.0
2008-01-01,Transportation equipment manufacturing,,9675000000.0
2008-01-01,Motor vehicle manufacturing,,4585000000.0
2008-01-01,Motor vehicle body and trailer manufacturing,,335000000.0
2008-01-01,Motor vehicle parts manufacturing,,2434000000.0
2008-01-01,Aerospace product and parts manufacturing,,1590000000.0
2008-01-01,Railroad rolling stock manufacturing,,212000000.0
2008-01-01,Ship and boat building,,172000000.0
2008-01-01,Other transportation equipment manufacturing,,349000000.0
2008-01-01,Furniture and related product manufacturing,,1130000000.0
2008-01-01,Miscellaneous manufacturing,,960000000.0
2008-02-01,"Total, durable and non-durable goods",,55866000000.0
2008-02-01,Non-durable goods,,25684000000.0
2008-02-01,Food manufacturing,,7266000000.0
2008-02-01,Beverage and tobacco product manufacturing,,1012000000.0
2008-02-01,Textile mills,,168000000.0
2008-02-01,Textile product mills,,211000000.0
2008-02-01,Apparel manufacturing,,242000000.0
2008-02-01,Leather and allied product manufacturing,,42000000.0
2008-02-01,Paper manufacturing,,2666000000.0
2008-02-01,Printing and related support activities,,912000000.0
2008-02-01,Petroleum and coal products manufacturing,,6162000000.0
2008-02-01,Chemical manufacturing,,4613000000.0
2008-02-01,Plastics and rubber products manufacturing,,2390000000.0
2008-02-01,Durable goods,,30182000000.0
2008-02-01,Wood product manufacturing,,2259000000.0
2008-02-01,Non-metallic mineral product manufacturing,,1346000000.0
2008-02-01,Primary metal manufacturing,,4539000000.0
2008-02-01,Fabricated metal product manufacturing,,3381000000.0
2008-02-01,Machinery manufacturing,,2970000000.0
2008-02-01,Computer and electronic product manufacturing,,1622000000.0
2008-02-01,"Electrical equipment, appliance and component manufacturing",,948000000.0
2008-02-01,Transportation equipment manufacturing,,10993000000.0
2008-02-01,Motor vehicle manufacturing,,5370000000.0
2008-02-01,Motor vehicle body and trailer manufacturing,,326000000.0
2008-02-01,Motor vehicle parts manufacturing,,2579000000.0
2008-02-01,Aerospace product and parts manufacturing,,1953000000.0
2008-02-01,Railroad rolling stock manufacturing,,219000000.0
2008-02-01,Ship and boat building,,181000000.0
2008-02-01,Other transportation equipment manufacturing,,367000000.0
2008-02-01,Furniture and related product manufacturing,,1119000000.0
2008-02-01,Miscellaneous manufacturing,,1003000000.0
2008-03-01,"Total, durable and non-durable goods",,54403000000.0
2008-03-01,Non-durable goods,,25390000000.0
2008-03-01,Food manufacturing,,7276000000.0
2008-03-01,Beverage and tobacco product manufacturing,,1018000000.0
2008-03-01,Textile mills,,151000000.0
2008-03-01,Textile product mills,,220000000.0
2008-03-01,Apparel manufacturing,,242000000.0
2008-03-01,Leather and allied product manufacturing,,38000000.0
2008-03-01,Paper manufacturing,,2610000000.0
2008-03-01,Printing and related support activities,,927000000.0
2008-03-01,Petroleum and coal products manufacturing,,6023000000.0
2008-03-01,Chemical manufacturing,,4520000000.0
2008-03-01,Plastics and rubber products manufacturing,,2365000000.0
2008-03-01,Durable goods,,29013000000.0
2008-03-01,Wood product manufacturing,,2186000000.0
2008-03-01,Non-metallic mineral product manufacturing,,1326000000.0
2008-03-01,Primary metal manufacturing,,4507000000.0
2008-03-01,Fabricated metal product manufacturing,,3361000000.0
2008-03-01,Machinery manufacturing,,2896000000.0
2008-03-01,Computer and electronic product manufacturing,,1634000000.0
2008-03-01,"Electrical equipment, appliance and component manufacturing",,940000000.0
2008-03-01,Transportation equipment manufacturing,,10062000000.0
2008-03-01,Motor vehicle manufacturing,,4763000000.0
2008-03-01,Motor vehicle body and trailer manufacturing,,298000000.0
2008-03-01,Motor vehicle parts manufacturing,,2314000000.0
2008-03-01,Aerospace product and parts manufacturing,,1987000000.0
2008-03-01,Railroad rolling stock manufacturing,,216000000.0
2008-03-01,Ship and boat building,,161000000.0
2008-03-01,Other transportation equipment manufacturing,,323000000.0
2008-03-01,Furniture and related product manufacturing,,1093000000.0
2008-03-01,Miscellaneous manufacturing,,1010000000.0
2008-04-01,"Total, durable and non-durable goods",,54396000000.0
2008-04-01,Non-durable goods,,25576000000.0
2008-04-01,Food manufacturing,,7367000000.0
2008-04-01,Beverage and tobacco product manufacturing,,1058000000.0
2008-04-01,Textile mills,,159000000.0
2008-04-01,Textile product mills,,220000000.0
2008-04-01,Apparel manufacturing,,235000000.0
2008-04-01,Leather and allied product manufacturing,,42000000.0
2008-04-01,Paper manufacturing,,2618000000.0
2008-04-01,Printing and related support activities,,920000000.0
2008-04-01,Petroleum and coal products manufacturing,,6105000000.0
2008-04-01,Chemical manufacturing,,4524000000.0
2008-04-01,Plastics and rubber products manufacturing,,2330000000.0
2008-04-01,Durable goods,,28820000000.0
2008-04-01,Wood product manufacturing,,2265000000.0
2008-04-01,Non-metallic mineral product manufacturing,,1319000000.0
2008-04-01,Primary metal manufacturing,,4668000000.0
2008-04-01,Fabricated metal product manufacturing,,3331000000.0
2008-04-01,Machinery manufacturing,,3006000000.0
2008-04-01,Computer and electronic product manufacturing,,1631000000.0
2008-04-01,"Electrical equipment, appliance and component manufacturing",,964000000.0
2008-04-01,Transportation equipment manufacturing,,9525000000.0
2008-04-01,Motor vehicle manufacturing,,4778000000.0
2008-04-01,Motor vehicle body and trailer manufacturing,,312000000.0
2008-04-01,Motor vehicle parts manufacturing,,2243000000.0
2008-04-01,Aerospace product and parts manufacturing,,1506000000.0
2008-04-01,Railroad rolling stock manufacturing,,187000000.0
2008-04-01,Ship and boat building,,188000000.0
2008-04-01,Other transportation equipment manufacturing,,311000000.0
2008-04-01,Furniture and related product manufacturing,,1097000000.0
2008-04-01,Miscellaneous manufacturing,,1015000000.0
2008-05-01,"Total, durable and non-durable goods",,55257000000.0
2008-05-01,Non-durable goods,,25772000000.0
2008-05-01,Food manufacturing,,7450000000.0
2008-05-01,Beverage and tobacco product manufacturing,,1044000000.0
2008-05-01,Textile mills,,159000000.0
2008-05-01,Textile product mills,,213000000.0
2008-05-01,Apparel manufacturing,,210000000.0
2008-05-01,Leather and allied product manufacturing,,41000000.0
2008-05-01,Paper manufacturing,,2642000000.0
2008-05-01,Printing and related support activities,,926000000.0
2008-05-01,Petroleum and coal products manufacturing,,6209000000.0
2008-05-01,Chemical manufacturing,,4528000000.0
2008-05-01,Plastics and rubber products manufacturing,,2352000000.0
2008-05-01,Durable goods,,29485000000.0
2008-05-01,Wood product manufacturing,,2351000000.0
2008-05-01,Non-metallic mineral product manufacturing,,1345000000.0
2008-05-01,Primary metal manufacturing,,4702000000.0
2008-05-01,Fabricated metal product manufacturing,,3337000000.0
2008-05-01,Machinery manufacturing,,3064000000.0
2008-05-01,Computer and electronic product manufacturing,,1670000000.0
2008-05-01,"Electrical equipment, appliance and component manufacturing",,963000000.0
2008-05-01,Transportation equipment manufacturing,,9928000000.0
2008-05-01,Motor vehicle manufacturing,,4766000000.0
2008-05-01,Motor vehicle body and trailer manufacturing,,314000000.0
2008-05-01,Motor vehicle parts manufacturing,,2293000000.0
2008-05-01,Aerospace product and parts manufacturing,,1935000000.0
2008-05-01,Railroad rolling stock manufacturing,,187000000.0
2008-05-01,Ship and boat building,,183000000.0
2008-05-01,Other transportation equipment manufacturing,,250000000.0
2008-05-01,Furniture and related product manufacturing,,1112000000.0
2008-05-01,Miscellaneous manufacturing,,1013000000.0
2008-06-01,"Total, durable and non-durable goods",,55515000000.0
2008-06-01,Non-durable goods,,25806000000.0
2008-06-01,Food manufacturing,,7438000000.0
2008-06-01,Beverage and tobacco product manufacturing,,1046000000.0
2008-06-01,Textile mills,,162000000.0
2008-06-01,Textile product mills,,215000000.0
2008-06-01,Apparel manufacturing,,210000000.0
2008-06-01,Leather and allied product manufacturing,,41000000.0
2008-06-01,Paper manufacturing,,2579000000.0
2008-06-01,Printing and related support activities,,903000000.0
2008-06-01,Petroleum and coal products manufacturing,,6192000000.0
2008-06-01,Chemical manufacturing,,4664000000.0
2008-06-01,Plastics and rubber products manufacturing,,2356000000.0
2008-06-01,Durable goods,,29709000000.0
2008-06-01,Wood product manufacturing,,2307000000.0
2008-06-01,Non-metallic mineral product manufacturing,,1342000000.0
2008-06-01,Primary metal manufacturing,,4985000000.0
2008-06-01,Fabricated metal product manufacturing,,3285000000.0
2008-06-01,Machinery manufacturing,,3070000000.0
2008-06-01,Computer and electronic product manufacturing,,1596000000.0
2008-06-01,"Electrical equipment, appliance and component manufacturing",,963000000.0
2008-06-01,Transportation equipment manufacturing,,10025000000.0
2008-06-01,Motor vehicle manufacturing,,5020000000.0
2008-06-01,Motor vehicle body and trailer manufacturing,,308000000.0
2008-06-01,Motor vehicle parts manufacturing,,2321000000.0
2008-06-01,Aerospace product and parts manufacturing,,1787000000.0
2008-06-01,Railroad rolling stock manufacturing,,185000000.0
2008-06-01,Ship and boat building,,184000000.0
2008-06-01,Other transportation equipment manufacturing,,220000000.0
2008-06-01,Furniture and related product manufacturing,,1078000000.0
2008-06-01,Miscellaneous manufacturing,,1057000000.0
2008-07-01,"Total, durable and non-durable goods",,56337000000.0
2008-07-01,Non-durable goods,,25902000000.0
2008-07-01,Food manufacturing,,7414000000.0
2008-07-01,Beverage and tobacco product manufacturing,,1048000000.0
2008-07-01,Textile mills,,164000000.0
2008-07-01,Textile product mills,,206000000.0
2008-07-01,Apparel manufacturing,,216000000.0
2008-07-01,Leather and allied product manufacturing,,46000000.0
2008-07-01,Paper manufacturing,,2586000000.0
2008-07-01,Printing and related support activities,,895000000.0
2008-07-01,Petroleum and coal products manufacturing,,6199000000.0
2008-07-01,Chemical manufacturing,,4715000000.0
2008-07-01,Plastics and rubber products manufacturing,,2413000000.0
2008-07-01,Durable goods,,30435000000.0
2008-07-01,Wood product manufacturing,,2385000000.0
2008-07-01,Non-metallic mineral product manufacturing,,1366000000.0
2008-07-01,Primary metal manufacturing,,5406000000.0
2008-07-01,Fabricated metal product manufacturing,,3222000000.0
2008-07-01,Machinery manufacturing,,3075000000.0
2008-07-01,Computer and electronic product manufacturing,,1659000000.0
2008-07-01,"Electrical equipment, appliance and component manufacturing",,991000000.0
2008-07-01,Transportation equipment manufacturing,,10217000000.0
2008-07-01,Motor vehicle manufacturing,,5291000000.0
2008-07-01,Motor vehicle body and trailer manufacturing,,295000000.0
2008-07-01,Motor vehicle parts manufacturing,,2208000000.0
2008-07-01,Aerospace product and parts manufacturing,,1754000000.0
2008-07-01,Railroad rolling stock manufacturing,,155000000.0
2008-07-01,Ship and boat building,,213000000.0
2008-07-01,Other transportation equipment manufacturing,,300000000.0
2008-07-01,Furniture and related product manufacturing,,1088000000.0
2008-07-01,Miscellaneous manufacturing,,1026000000.0
2008-08-01,"Total, durable and non-durable goods",,54062000000.0
2008-08-01,Non-durable goods,,24841000000.0
2008-08-01,Food manufacturing,,7305000000.0
2008-08-01,Beverage and tobacco product manufacturing,,1031000000.0
2008-08-01,Textile mills,,154000000.0
2008-08-01,Textile product mills,,221000000.0
2008-08-01,Apparel manufacturing,,240000000.0
2008-08-01,Leather and allied product manufacturing,,33000000.0
2008-08-01,Paper manufacturing,,2516000000.0
2008-08-01,Printing and related support activities,,875000000.0
2008-08-01,Petroleum and coal products manufacturing,,5676000000.0
2008-08-01,Chemical manufacturing,,4584000000.0
2008-08-01,Plastics and rubber products manufacturing,,2205000000.0
2008-08-01,Durable goods,,29221000000.0
2008-08-01,Wood product manufacturing,,2253000000.0
2008-08-01,Non-metallic mineral product manufacturing,,1337000000.0
2008-08-01,Primary metal manufacturing,,5251000000.0
2008-08-01,Fabricated metal product manufacturing,,3132000000.0
2008-08-01,Machinery manufacturing,,3037000000.0
2008-08-01,Computer and electronic product manufacturing,,1655000000.0
2008-08-01,"Electrical equipment, appliance and component manufacturing",,992000000.0
2008-08-01,Transportation equipment manufacturing,,9434000000.0
2008-08-01,Motor vehicle manufacturing,,4811000000.0
2008-08-01,Motor vehicle body and trailer manufacturing,,298000000.0
2008-08-01,Motor vehicle parts manufacturing,,2092000000.0
2008-08-01,Aerospace product and parts manufacturing,,1664000000.0
2008-08-01,Railroad rolling stock manufacturing,,174000000.0
2008-08-01,Ship and boat building,,188000000.0
2008-08-01,Other transportation equipment manufacturing,,208000000.0
2008-08-01,Furniture and related product manufacturing,,1063000000.0
2008-08-01,Miscellaneous manufacturing,,1066000000.0
2008-09-01,"Total, durable and non-durable goods",,53778000000.0
2008-09-01,Non-durable goods,,25005000000.0
2008-09-01,Food manufacturing,,7431000000.0
2008-09-01,Beverage and tobacco product manufacturing,,1049000000.0
2008-09-01,Textile mills,,162000000.0
2008-09-01,Textile product mills,,201000000.0
2008-09-01,Apparel manufacturing,,232000000.0
2008-09-01,Leather and allied product manufacturing,,37000000.0
2008-09-01,Paper manufacturing,,2540000000.0
2008-09-01,Printing and related support activities,,889000000.0
2008-09-01,Petroleum and coal products manufacturing,,5689000000.0
2008-09-01,Chemical manufacturing,,4563000000.0
2008-09-01,Plastics and rubber products manufacturing,,2213000000.0
2008-09-01,Durable goods,,28772000000.0
2008-09-01,Wood product manufacturing,,2191000000.0
2008-09-01,Non-metallic mineral product manufacturing,,1350000000.0
2008-09-01,Primary metal manufacturing,,5001000000.0
2008-09-01,Fabricated metal product manufacturing,,3181000000.0
2008-09-01,Machinery manufacturing,,2996000000.0
2008-09-01,Computer and electronic product manufacturing,,1615000000.0
2008-09-01,"Electrical equipment, appliance and component manufacturing",,915000000.0
2008-09-01,Transportation equipment manufacturing,,9419000000.0
2008-09-01,Motor vehicle manufacturing,,4571000000.0
2008-09-01,Motor vehicle body and trailer manufacturing,,295000000.0
2008-09-01,Motor vehicle parts manufacturing,,2061000000.0
2008-09-01,Aerospace product and parts manufacturing,,1900000000.0
2008-09-01,Railroad rolling stock manufacturing,,186000000.0
2008-09-01,Ship and boat building,,196000000.0
2008-09-01,Other transportation equipment manufacturing,,211000000.0
2008-09-01,Furniture and related product manufacturing,,1035000000.0
2008-09-01,Miscellaneous manufacturing,,1070000000.0
2008-10-01,"Total, durable and non-durable goods",,53174000000.0
2008-10-01,Non-durable goods,,24945000000.0
2008-10-01,Food manufacturing,,7639000000.0
2008-10-01,Beverage and tobacco product manufacturing,,1016000000.0
2008-10-01,Textile mills,,155000000.0
2008-10-01,Textile product mills,,188000000.0
2008-10-01,Apparel manufacturing,,206000000.0
2008-10-01,Leather and allied product manufacturing,,37000000.0
2008-10-01,Paper manufacturing,,2436000000.0
2008-10-01,Printing and related support activities,,877000000.0
2008-10-01,Petroleum and coal products manufacturing,,5817000000.0
2008-10-01,Chemical manufacturing,,4467000000.0
2008-10-01,Plastics and rubber products manufacturing,,2108000000.0
2008-10-01,Durable goods,,28230000000.0
2008-10-01,Wood product manufacturing,,2188000000.0
2008-10-01,Non-metallic mineral product manufacturing,,1323000000.0
2008-10-01,Primary metal manufacturing,,5450000000.0
2008-10-01,Fabricated metal product manufacturing,,3145000000.0
2008-10-01,Machinery manufacturing,,3082000000.0
2008-10-01,Computer and electronic product manufacturing,,1542000000.0
2008-10-01,"Electrical equipment, appliance and component manufacturing",,987000000.0
2008-10-01,Transportation equipment manufacturing,,8388000000.0
2008-10-01,Motor vehicle manufacturing,,3653000000.0
2008-10-01,Motor vehicle body and trailer manufacturing,,243000000.0
2008-10-01,Motor vehicle parts manufacturing,,2031000000.0
2008-10-01,Aerospace product and parts manufacturing,,1862000000.0
2008-10-01,Railroad rolling stock manufacturing,,171000000.0
2008-10-01,Ship and boat building,,186000000.0
2008-10-01,Other transportation equipment manufacturing,,242000000.0
2008-10-01,Furniture and related product manufacturing,,1034000000.0
2008-10-01,Miscellaneous manufacturing,,1090000000.0
2008-11-01,"Total, durable and non-durable goods",,51607000000.0
2008-11-01,Non-durable goods,,24348000000.0
2008-11-01,Food manufacturing,,7616000000.0
2008-11-01,Beverage and tobacco product manufacturing,,1046000000.0
2008-11-01,Textile mills,,153000000.0
2008-11-01,Textile product mills,,197000000.0
2008-11-01,Apparel manufacturing,,215000000.0
2008-11-01,Leather and allied product manufacturing,,39000000.0
2008-11-01,Paper manufacturing,,2356000000.0
2008-11-01,Printing and related support activities,,874000000.0
2008-11-01,Petroleum and coal products manufacturing,,5711000000.0
2008-11-01,Chemical manufacturing,,4066000000.0
2008-11-01,Plastics and rubber products manufacturing,,2077000000.0
2008-11-01,Durable goods,,27258000000.0
2008-11-01,Wood product manufacturing,,1990000000.0
2008-11-01,Non-metallic mineral product manufacturing,,1297000000.0
2008-11-01,Primary metal manufacturing,,4704000000.0
2008-11-01,Fabricated metal product manufacturing,,3205000000.0
2008-11-01,Machinery manufacturing,,2915000000.0
2008-11-01,Computer and electronic product manufacturing,,1561000000.0
2008-11-01,"Electrical equipment, appliance and component manufacturing",,987000000.0
2008-11-01,Transportation equipment manufacturing,,8470000000.0
2008-11-01,Motor vehicle manufacturing,,4006000000.0
2008-11-01,Motor vehicle body and trailer manufacturing,,272000000.0
2008-11-01,Motor vehicle parts manufacturing,,1979000000.0
2008-11-01,Aerospace product and parts manufacturing,,1601000000.0
2008-11-01,Railroad rolling stock manufacturing,,169000000.0
2008-11-01,Ship and boat building,,158000000.0
2008-11-01,Other transportation equipment manufacturing,,285000000.0
2008-11-01,Furniture and related product manufacturing,,1029000000.0
2008-11-01,Miscellaneous manufacturing,,1100000000.0
2008-12-01,"Total, durable and non-durable goods",,48571000000.0
2008-12-01,Non-durable goods,,23817000000.0
2008-12-01,Food manufacturing,,7584000000.0
2008-12-01,Beverage and tobacco product manufacturing,,1025000000.0
2008-12-01,Textile mills,,145000000.0
2008-12-01,Textile product mills,,191000000.0
2008-12-01,Apparel manufacturing,,202000000.0
2008-12-01,Leather and allied product manufacturing,,37000000.0
2008-12-01,Paper manufacturing,,2292000000.0
2008-12-01,Printing and related support activities,,858000000.0
2008-12-01,Petroleum and coal products manufacturing,,5752000000.0
2008-12-01,Chemical manufacturing,,3712000000.0
2008-12-01,Plastics and rubber products manufacturing,,2017000000.0
2008-12-01,Durable goods,,24754000000.0
2008-12-01,Wood product manufacturing,,1790000000.0
2008-12-01,Non-metallic mineral product manufacturing,,1089000000.0
2008-12-01,Primary metal manufacturing,,4513000000.0
2008-12-01,Fabricated metal product manufacturing,,2917000000.0
2008-12-01,Machinery manufacturing,,2814000000.0
2008-12-01,Computer and electronic product manufacturing,,1519000000.0
2008-12-01,"Electrical equipment, appliance and component manufacturing",,952000000.0
2008-12-01,Transportation equipment manufacturing,,7226000000.0
2008-12-01,Motor vehicle manufacturing,,3099000000.0
2008-12-01,Motor vehicle body and trailer manufacturing,,264000000.0
2008-12-01,Motor vehicle parts manufacturing,,1642000000.0
2008-12-01,Aerospace product and parts manufacturing,,1674000000.0
2008-12-01,Railroad rolling stock manufacturing,,154000000.0
2008-12-01,Ship and boat building,,138000000.0
2008-12-01,Other transportation equipment manufacturing,,255000000.0
2008-12-01,Furniture and related product manufacturing,,955000000.0
2008-12-01,Miscellaneous manufacturing,,979000000.0
2009-01-01,"Total, durable and non-durable goods",,46034000000.0
2009-01-01,Non-durable goods,,24431000000.0
2009-01-01,Food manufacturing,,7716000000.0
2009-01-01,Beverage and tobacco product manufacturing,,1106000000.0
2009-01-01,Textile mills,,138000000.0
2009-01-01,Textile product mills,,158000000.0
2009-01-01,Apparel manufacturing,,196000000.0
2009-01-01,Leather and allied product manufacturing,,36000000.0
2009-01-01,Paper manufacturing,,2242000000.0
2009-01-01,Printing and related support activities,,816000000.0
2009-01-01,Petroleum and coal products manufacturing,,6127000000.0
2009-01-01,Chemical manufacturing,,4069000000.0
2009-01-01,Plastics and rubber products manufacturing,,1827000000.0
2009-01-01,Durable goods,,21603000000.0
2009-01-01,Wood product manufacturing,,1750000000.0
2009-01-01,Non-metallic mineral product manufacturing,,1047000000.0
2009-01-01,Primary metal manufacturing,,3618000000.0
2009-01-01,Fabricated metal product manufacturing,,2680000000.0
2009-01-01,Machinery manufacturing,,2605000000.0
2009-01-01,Computer and electronic product manufacturing,,1580000000.0
2009-01-01,"Electrical equipment, appliance and component manufacturing",,849000000.0
2009-01-01,Transportation equipment manufacturing,,5501000000.0
2009-01-01,Motor vehicle manufacturing,,1782000000.0
2009-01-01,Motor vehicle body and trailer manufacturing,,240000000.0
2009-01-01,Motor vehicle parts manufacturing,,1233000000.0
2009-01-01,Aerospace product and parts manufacturing,,1683000000.0
2009-01-01,Railroad rolling stock manufacturing,,186000000.0
2009-01-01,Ship and boat building,,99000000.0
2009-01-01,Other transportation equipment manufacturing,,279000000.0
2009-01-01,Furniture and related product manufacturing,,917000000.0
2009-01-01,Miscellaneous manufacturing,,1056000000.0
2009-02-01,"Total, durable and non-durable goods",,46937000000.0
2009-02-01,Non-durable goods,,24259000000.0
2009-02-01,Food manufacturing,,7749000000.0
2009-02-01,Beverage and tobacco product manufacturing,,1042000000.0
2009-02-01,Textile mills,,141000000.0
2009-02-01,Textile product mills,,152000000.0
2009-02-01,Apparel manufacturing,,213000000.0
2009-02-01,Leather and allied product manufacturing,,33000000.0
2009-02-01,Paper manufacturing,,2240000000.0
2009-02-01,Printing and related support activities,,842000000.0
2009-02-01,Petroleum and coal products manufacturing,,5985000000.0
2009-02-01,Chemical manufacturing,,4047000000.0
2009-02-01,Plastics and rubber products manufacturing,,1816000000.0
2009-02-01,Durable goods,,22678000000.0
2009-02-01,Wood product manufacturing,,1738000000.0
2009-02-01,Non-metallic mineral product manufacturing,,1060000000.0
2009-02-01,Primary metal manufacturing,,3861000000.0
2009-02-01,Fabricated metal product manufacturing,,2718000000.0
2009-02-01,Machinery manufacturing,,2709000000.0
2009-02-01,Computer and electronic product manufacturing,,1448000000.0
2009-02-01,"Electrical equipment, appliance and component manufacturing",,845000000.0
2009-02-01,Transportation equipment manufacturing,,6373000000.0
2009-02-01,Motor vehicle manufacturing,,2264000000.0
2009-02-01,Motor vehicle body and trailer manufacturing,,217000000.0
2009-02-01,Motor vehicle parts manufacturing,,1646000000.0
2009-02-01,Aerospace product and parts manufacturing,,1654000000.0
2009-02-01,Railroad rolling stock manufacturing,,150000000.0
2009-02-01,Ship and boat building,,99000000.0
2009-02-01,Other transportation equipment manufacturing,,343000000.0
2009-02-01,Furniture and related product manufacturing,,907000000.0
2009-02-01,Miscellaneous manufacturing,,1018000000.0
2009-03-01,"Total, durable and non-durable goods",,45503000000.0
2009-03-01,Non-durable goods,,24280000000.0
2009-03-01,Food manufacturing,,7723000000.0
2009-03-01,Beverage and tobacco product manufacturing,,1052000000.0
2009-03-01,Textile mills,,142000000.0
2009-03-01,Textile product mills,,145000000.0
2009-03-01,Apparel manufacturing,,186000000.0
2009-03-01,Leather and allied product manufacturing,,33000000.0
2009-03-01,Paper manufacturing,,2156000000.0
2009-03-01,Printing and related support activities,,802000000.0
2009-03-01,Petroleum and coal products manufacturing,,6212000000.0
2009-03-01,Chemical manufacturing,,4038000000.0
2009-03-01,Plastics and rubber products manufacturing,,1790000000.0
2009-03-01,Durable goods,,21223000000.0
2009-03-01,Wood product manufacturing,,1637000000.0
2009-03-01,Non-metallic mineral product manufacturing,,998000000.0
2009-03-01,Primary metal manufacturing,,3546000000.0
2009-03-01,Fabricated metal product manufacturing,,2634000000.0
2009-03-01,Machinery manufacturing,,2505000000.0
2009-03-01,Computer and electronic product manufacturing,,1374000000.0
2009-03-01,"Electrical equipment, appliance and component manufacturing",,852000000.0
2009-03-01,Transportation equipment manufacturing,,5717000000.0
2009-03-01,Motor vehicle manufacturing,,2555000000.0
2009-03-01,Motor vehicle body and trailer manufacturing,,218000000.0
2009-03-01,Motor vehicle parts manufacturing,,1320000000.0
2009-03-01,Aerospace product and parts manufacturing,,1086000000.0
2009-03-01,Railroad rolling stock manufacturing,,146000000.0
2009-03-01,Ship and boat building,,130000000.0
2009-03-01,Other transportation equipment manufacturing,,261000000.0
2009-03-01,Furniture and related product manufacturing,,886000000.0
2009-03-01,Miscellaneous manufacturing,,1072000000.0
2009-04-01,"Total, durable and non-durable goods",,46011000000.0
2009-04-01,Non-durable goods,,23549000000.0
2009-04-01,Food manufacturing,,7674000000.0
