REFERENCE_PERIOD,NAICS,STATUS,CALCULATED_VALUE
2002-04-01,Petroleum and coal products manufacturing,,5485000000.0
2002-04-01,Chemical manufacturing,,4740000000.0
2002-04-01,Plastics and rubber products manufacturing,,2732000000.0
2002-04-01,Durable goods,,30135000000.0
2002-04-01,Wood product manufacturing,,2950000000.0
2002-04-01,Non-metallic mineral product manufacturing,,1228000000.0
2002-04-01,Primary metal manufacturing,,4790000000.0
2002-04-01,Fabricated metal product manufacturing,,3468000000.0
2002-04-01,Machinery manufacturing,,2706000000.0
2002-04-01,Computer and electronic product manufacturing,,1639000000.0
2002-04-01,"Electrical equipment, appliance and component manufacturing",,1146000000.0
2002-04-01,Transportation equipment manufacturing,,9839000000.0
2002-04-01,Motor vehicle manufacturing,,5364000000.0
2002-04-01,Motor vehicle body and trailer manufacturing,,311000000.0
2002-04-01,Motor vehicle parts manufacturing,,2622000000.0
2002-04-01,Aerospace product and parts manufacturing,,838000000.0
2002-04-01,Railroad rolling stock manufacturing,,367000000.0
2002-04-01,Ship and boat building,,214000000.0
2002-04-01,Other transportation equipment manufacturing,,123000000.0
2002-04-01,Furniture and related product manufacturing,,1369000000.0
2002-04-01,Miscellaneous manufacturing,,1000000000.0
2002-05-01,"Total, durable and non-durable goods",,57423000000.0
2002-05-01,Non-durable goods,,26920000000.0
2002-05-01,Food manufacturing,,6780000000.0
2002-05-01,Beverage and tobacco product manufacturing,,1479000000.0
2002-05-01,Textile mills,,394000000.0
2002-05-01,Textile product mills,,302000000.0
2002-05-01,Apparel manufacturing,,681000000.0
2002-05-01,Leather and allied product manufacturing,,88000000.0
2002-05-01,Paper manufacturing,,3028000000.0
2002-05-01,Printing and related support activities,,1089000000.0
2002-05-01,Petroleum and coal products manufacturing,,5481000000.0
2002-05-01,Chemical manufacturing,,4882000000.0
2002-05-01,Plastics and rubber products manufacturing,,2716000000.0
2002-05-01,Durable goods,,30502000000.0
2002-05-01,Wood product manufacturing,,3020000000.0
2002-05-01,Non-metallic mineral product manufacturing,,1261000000.0
2002-05-01,Primary metal manufacturing,,4975000000.0
2002-05-01,Fabricated metal product manufacturing,,3520000000.0
2002-05-01,Machinery manufacturing,,2657000000.0
2002-05-01,Computer and electronic product manufacturing,,1741000000.0
2002-05-01,"Electrical equipment, appliance and component manufacturing",,1114000000.0
2002-05-01,Transportation equipment manufacturing,,9712000000.0
2002-05-01,Motor vehicle manufacturing,,5160000000.0
2002-05-01,Motor vehicle body and trailer manufacturing,,309000000.0
2002-05-01,Motor vehicle parts manufacturing,,2619000000.0
2002-05-01,Aerospace product and parts manufacturing,,923000000.0
2002-05-01,Railroad rolling stock manufacturing,,377000000.0
2002-05-01,Ship and boat building,,211000000.0
2002-05-01,Other transportation equipment manufacturing,,112000000.0
2002-05-01,Furniture and related product manufacturing,,1400000000.0
2002-05-01,Miscellaneous manufacturing,,1101000000.0
2002-06-01,"Total, durable and non-durable goods",,57588000000.0
2002-06-01,Non-durable goods,,27029000000.0
2002-06-01,Food manufacturing,,6840000000.0
2002-06-01,Beverage and tobacco product manufacturing,,1537000000.0
2002-06-01,Textile mills,,393000000.0
2002-06-01,Textile product mills,,300000000.0
2002-06-01,Apparel manufacturing,,680000000.0
2002-06-01,Leather and allied product manufacturing,,96000000.0
2002-06-01,Paper manufacturing,,3085000000.0
2002-06-01,Printing and related support activities,,1105000000.0
2002-06-01,Petroleum and coal products manufacturing,,5342000000.0
2002-06-01,Chemical manufacturing,,4869000000.0
2002-06-01,Plastics and rubber products manufacturing,,2782000000.0
2002-06-01,Durable goods,,30558000000.0
2002-06-01,Wood product manufacturing,,3013000000.0
2002-06-01,Non-metallic mineral product manufacturing,,1268000000.0
2002-06-01,Primary metal manufacturing,,4733000000.0
2002-06-01,Fabricated metal product manufacturing,,3492000000.0
2002-06-01,Machinery manufacturing,,2613000000.0
2002-06-01,Computer and electronic product manufacturing,,1699000000.0
2002-06-01,"Electrical equipment, appliance and component manufacturing",,1110000000.0
2002-06-01,Transportation equipment manufacturing,,10185000000.0
2002-06-01,Motor vehicle manufacturing,,5274000000.0
2002-06-01,Motor vehicle body and trailer manufacturing,,317000000.0
2002-06-01,Motor vehicle parts manufacturing,,2696000000.0
2002-06-01,Aerospace product and parts manufacturing,,1086000000.0
2002-06-01,Railroad rolling stock manufacturing,,418000000.0
2002-06-01,Ship and boat building,,291000000.0
2002-06-01,Other transportation equipment manufacturing,,103000000.0
2002-06-01,Furniture and related product manufacturing,,1411000000.0
2002-06-01,Miscellaneous manufacturing,,1034000000.0
2002-07-01,"Total, durable and non-durable goods",,57571000000.0
2002-07-01,Non-durable goods,,27174000000.0
2002-07-01,Food manufacturing,,6787000000.0
2002-07-01,Beverage and tobacco product manufacturing,,1511000000.0
2002-07-01,Textile mills,,387000000.0
2002-07-01,Textile product mills,,307000000.0
2002-07-01,Apparel manufacturing,,682000000.0
2002-07-01,Leather and allied product manufacturing,,88000000.0
2002-07-01,Paper manufacturing,,3074000000.0
2002-07-01,Printing and related support activities,,1120000000.0
2002-07-01,Petroleum and coal products manufacturing,,5505000000.0
2002-07-01,Chemical manufacturing,,4958000000.0
2002-07-01,Plastics and rubber products manufacturing,,2756000000.0
2002-07-01,Durable goods,,30397000000.0
2002-07-01,Wood product manufacturing,,2987000000.0
2002-07-01,Non-metallic mineral product manufacturing,,1292000000.0
2002-07-01,Primary metal manufacturing,,4625000000.0
2002-07-01,Fabricated metal product manufacturing,,3464000000.0
2002-07-01,Machinery manufacturing,,2636000000.0
2002-07-01,Computer and electronic product manufacturing,,1664000000.0
2002-07-01,"Electrical equipment, appliance and component manufacturing",,1099000000.0
2002-07-01,Transportation equipment manufacturing,,10175000000.0
2002-07-01,Motor vehicle manufacturing,,5498000000.0
2002-07-01,Motor vehicle body and trailer manufacturing,,323000000.0
2002-07-01,Motor vehicle parts manufacturing,,2737000000.0
2002-07-01,Aerospace product and parts manufacturing,,940000000.0
2002-07-01,Railroad rolling stock manufacturing,,370000000.0
2002-07-01,Ship and boat building,,174000000.0
2002-07-01,Other transportation equipment manufacturing,,133000000.0
2002-07-01,Furniture and related product manufacturing,,1432000000.0
2002-07-01,Miscellaneous manufacturing,,1024000000.0
2002-08-01,"Total, durable and non-durable goods",,57889000000.0
2002-08-01,Non-durable goods,,27421000000.0
2002-08-01,Food manufacturing,,6845000000.0
2002-08-01,Beverage and tobacco product manufacturing,,1519000000.0
2002-08-01,Textile mills,,386000000.0
2002-08-01,Textile product mills,,323000000.0
2002-08-01,Apparel manufacturing,,687000000.0
2002-08-01,Leather and allied product manufacturing,,93000000.0
2002-08-01,Paper manufacturing,,3068000000.0
2002-08-01,Printing and related support activities,,1097000000.0
2002-08-01,Petroleum and coal products manufacturing,,5645000000.0
2002-08-01,Chemical manufacturing,,4941000000.0
2002-08-01,Plastics and rubber products manufacturing,,2815000000.0
2002-08-01,Durable goods,,30468000000.0
2002-08-01,Wood product manufacturing,,3106000000.0
2002-08-01,Non-metallic mineral product manufacturing,,1337000000.0
2002-08-01,Primary metal manufacturing,,4640000000.0
2002-08-01,Fabricated metal product manufacturing,,3552000000.0
2002-08-01,Machinery manufacturing,,2678000000.0
2002-08-01,Computer and electronic product manufacturing,,1633000000.0
2002-08-01,"Electrical equipment, appliance and component manufacturing",,1093000000.0
2002-08-01,Transportation equipment manufacturing,,9997000000.0
2002-08-01,Motor vehicle manufacturing,,5243000000.0
2002-08-01,Motor vehicle body and trailer manufacturing,,331000000.0
2002-08-01,Motor vehicle parts manufacturing,,2696000000.0
2002-08-01,Aerospace product and parts manufacturing,,1040000000.0
2002-08-01,Railroad rolling stock manufacturing,,432000000.0
2002-08-01,Ship and boat building,,138000000.0
2002-08-01,Other transportation equipment manufacturing,,116000000.0
2002-08-01,Furniture and related product manufacturing,,1442000000.0
2002-08-01,Miscellaneous manufacturing,,989000000.0
2002-09-01,"Total, durable and non-durable goods",,57317000000.0
2002-09-01,Non-durable goods,,27400000000.0
2002-09-01,Food manufacturing,,6788000000.0
2002-09-01,Beverage and tobacco product manufacturing,,1546000000.0
2002-09-01,Textile mills,,362000000.0
2002-09-01,Textile product mills,,293000000.0
2002-09-01,Apparel manufacturing,,720000000.0
2002-09-01,Leather and allied product manufacturing,,84000000.0
2002-09-01,Paper manufacturing,,3181000000.0
2002-09-01,Printing and related support activities,,1050000000.0
2002-09-01,Petroleum and coal products manufacturing,,5687000000.0
2002-09-01,Chemical manufacturing,,4992000000.0
2002-09-01,Plastics and rubber products manufacturing,,2697000000.0
2002-09-01,Durable goods,,29917000000.0
2002-09-01,Wood product manufacturing,,2997000000.0
2002-09-01,Non-metallic mineral product manufacturing,,1256000000.0
2002-09-01,Primary metal manufacturing,,4626000000.0
2002-09-01,Fabricated metal product manufacturing,,3515000000.0
2002-09-01,Machinery manufacturing,,2661000000.0
2002-09-01,Computer and electronic product manufacturing,,1707000000.0
2002-09-01,"Electrical equipment, appliance and component manufacturing",,1026000000.0
2002-09-01,Transportation equipment manufacturing,,9780000000.0
2002-09-01,Motor vehicle manufacturing,,4957000000.0
2002-09-01,Motor vehicle body and trailer manufacturing,,336000000.0
2002-09-01,Motor vehicle parts manufacturing,,2536000000.0
2002-09-01,Aerospace product and parts manufacturing,,1264000000.0
2002-09-01,Railroad rolling stock manufacturing,,394000000.0
2002-09-01,Ship and boat building,,178000000.0
2002-09-01,Other transportation equipment manufacturing,,115000000.0
2002-09-01,Furniture and related product manufacturing,,1338000000.0
2002-09-01,Miscellaneous manufacturing,,1010000000.0
2002-10-01,"Total, durable and non-durable goods",,57378000000.0
2002-10-01,Non-durable goods,,27558000000.0
2002-10-01,Food manufacturing,,6880000000.0
2002-10-01,Beverage and tobacco product manufacturing,,1460000000.0
2002-10-01,Textile mills,,353000000.0
2002-10-01,Textile product mills,,290000000.0
2002-10-01,Apparel manufacturing,,710000000.0
2002-10-01,Leather and allied product manufacturing,,78000000.0
2002-10-01,Paper manufacturing,,3158000000.0
2002-10-01,Printing and related support activities,,1076000000.0
2002-10-01,Petroleum and coal products manufacturing,,5775000000.0
2002-10-01,Chemical manufacturing,,5117000000.0
2002-10-01,Plastics and rubber products manufacturing,,2663000000.0
2002-10-01,Durable goods,,29820000000.0
2002-10-01,Wood product manufacturing,,3094000000.0
2002-10-01,Non-metallic mineral product manufacturing,,1234000000.0
2002-10-01,Primary metal manufacturing,,4855000000.0
2002-10-01,Fabricated metal product manufacturing,,3501000000.0
2002-10-01,Machinery manufacturing,,2609000000.0
2002-10-01,Computer and electronic product manufacturing,,1677000000.0
2002-10-01,"Electrical equipment, appliance and component manufacturing",,1042000000.0
2002-10-01,Transportation equipment manufacturing,,9431000000.0
2002-10-01,Motor vehicle manufacturing,,4838000000.0
2002-10-01,Motor vehicle body and trailer manufacturing,,335000000.0
2002-10-01,Motor vehicle parts manufacturing,,2545000000.0
2002-10-01,Aerospace product and parts manufacturing,,1014000000.0
2002-10-01,Railroad rolling stock manufacturing,,384000000.0
2002-10-01,Ship and boat building,,185000000.0
2002-10-01,Other transportation equipment manufacturing,,130000000.0
2002-10-01,Furniture and related product manufacturing,,1342000000.0
2002-10-01,Miscellaneous manufacturing,,1035000000.0
2002-11-01,"Total, durable and non-durable goods",,57132000000.0
2002-11-01,Non-durable goods,,27307000000.0
2002-11-01,Food manufacturing,,6764000000.0
2002-11-01,Beverage and tobacco product manufacturing,,1506000000.0
2002-11-01,Textile mills,,350000000.0
2002-11-01,Textile product mills,,291000000.0
2002-11-01,Apparel manufacturing,,703000000.0
2002-11-01,Leather and allied product manufacturing,,85000000.0
2002-11-01,Paper manufacturing,,3222000000.0
2002-11-01,Printing and related support activities,,1080000000.0
2002-11-01,Petroleum and coal products manufacturing,,5505000000.0
2002-11-01,Chemical manufacturing,,5116000000.0
2002-11-01,Plastics and rubber products manufacturing,,2685000000.0
2002-11-01,Durable goods,,29824000000.0
2002-11-01,Wood product manufacturing,,3082000000.0
2002-11-01,Non-metallic mineral product manufacturing,,1253000000.0
2002-11-01,Primary metal manufacturing,,4562000000.0
2002-11-01,Fabricated metal product manufacturing,,3455000000.0
2002-11-01,Machinery manufacturing,,2632000000.0
2002-11-01,Computer and electronic product manufacturing,,1651000000.0
2002-11-01,"Electrical equipment, appliance and component manufacturing",,1045000000.0
2002-11-01,Transportation equipment manufacturing,,9783000000.0
2002-11-01,Motor vehicle manufacturing,,4930000000.0
2002-11-01,Motor vehicle body and trailer manufacturing,,332000000.0
2002-11-01,Motor vehicle parts manufacturing,,2612000000.0
2002-11-01,Aerospace product and parts manufacturing,,1231000000.0
2002-11-01,Railroad rolling stock manufacturing,,385000000.0
2002-11-01,Ship and boat building,,158000000.0
2002-11-01,Other transportation equipment manufacturing,,135000000.0
2002-11-01,Furniture and related product manufacturing,,1315000000.0
2002-11-01,Miscellaneous manufacturing,,1046000000.0
2002-12-01,"Total, durable and non-durable goods",,56871000000.0
2002-12-01,Non-durable goods,,27728000000.0
2002-12-01,Food manufacturing,,6822000000.0
2002-12-01,Beverage and tobacco product manufacturing,,1537000000.0
2002-12-01,Textile mills,,367000000.0
2002-12-01,Textile product mills,,286000000.0
2002-12-01,Apparel manufacturing,,690000000.0
2002-12-01,Leather and allied product manufacturing,,97000000.0
2002-12-01,Paper manufacturing,,3219000000.0
2002-12-01,Printing and related support activities,,1122000000.0
2002-12-01,Petroleum and coal products manufacturing,,5708000000.0
2002-12-01,Chemical manufacturing,,5162000000.0
2002-12-01,Plastics and rubber products manufacturing,,2717000000.0
2002-12-01,Durable goods,,29143000000.0
2002-12-01,Wood product manufacturing,,3137000000.0
2002-12-01,Non-metallic mineral product manufacturing,,1255000000.0
2002-12-01,Primary metal manufacturing,,4789000000.0
2002-12-01,Fabricated metal product manufacturing,,3382000000.0
