REFERENCE_PERIOD,NAICS,STATUS,SYMBOL,TERMINATED,DECIMALS,CALCULATED_VALUE
2002-03-01,Railroad rolling stock manufacturing,,,,0,366000000.0
2002-03-01,Ship and boat building,,,,0,168000000.0
2002-03-01,Other transportation equipment manufacturing,,,,0,62000000.0
2002-03-01,Furniture and related product manufacturing,,,,0,1406000000.0
2002-03-01,Miscellaneous manufacturing,,,,0,896000000.0
2002-04-01,"Total, durable and non-durable goods",,,,0,56850000000.0
2002-04-01,Non-durable goods,,,,0,26715000000.0
2002-04-01,Food manufacturing,,,,0,6714000000.0
2002-04-01,Beverage and tobacco product manufacturing,,,,0,1524000000.0
2002-04-01,Textile mills,,,,0,388000000.0
2002-04-01,Textile product mills,,,,0,295000000.0
2002-04-01,Apparel manufacturing,,,,0,681000000.0
2002-04-01,Leather and allied product manufacturing,,,,0,92000000.0
2002-04-01,Paper manufacturing,,,,0,2995000000.0
2002-04-01,Printing and related support activities,,,,0,1068000000.0
2002-04-01,Petroleum and coal products manufacturing,,,,0,5485000000.0
2002-04-01,Chemical manufacturing,,,,0,4740000000.0
2002-04-01,Plastics and rubber products manufacturing,,,,0,2732000000.0
2002-04-01,Durable goods,,,,0,30135000000.0
2002-04-01,Wood product manufacturing,,,,0,2950000000.0
2002-04-01,Non-metallic mineral product manufacturing,,,,0,1228000000.0
2002-04-01,Primary metal manufacturing,,,,0,4790000000.0
2002-04-01,Fabricated metal product manufacturing,,,,0,3468000000.0
2002-04-01,Machinery manufacturing,,,,0,2706000000.0
2002-04-01,Computer and electronic product manufacturing,,,,0,1639000000.0
2002-04-01,"Electrical equipment, appliance and component manufacturing",,,,0,1146000000.0
2002-04-01,Transportation equipment manufacturing,,,,0,9839000000.0
2002-04-01,Motor vehicle manufacturing,,,,0,5364000000.0
2002-04-01,Motor vehicle body and trailer manufacturing,,,,0,311000000.0
2002-04-01,Motor vehicle parts manufacturing,,,,0,2622000000.0
2002-04-01,Aerospace product and parts manufacturing,,,,0,838000000.0
2002-04-01,Railroad rolling stock manufacturing,,,,0,367000000.0
2002-04-01,Ship and boat building,,,,0,214000000.0
2002-04-01,Other transportation equipment manufacturing,,,,0,123000000.0
2002-04-01,Furniture and related product manufacturing,,,,0,1369000000.0
2002-04-01,Miscellaneous manufacturing,,,,0,1000000000.0
2002-05-01,"Total, durable and non-durable goods",,,,0,57423000000.0
2002-05-01,Non-durable goods,,,,0,26920000000.0
2002-05-01,Food manufacturing,,,,0,6780000000.0
2002-05-01,Beverage and tobacco product manufacturing,,,,0,1479000000.0
2002-05-01,Textile mills,,,,0,394000000.0
2002-05-01,Textile product mills,,,,0,302000000.0
2002-05-01,Apparel manufacturing,,,,0,681000000.0
2002-05-01,Leather and allied product manufacturing,,,,0,88000000.0
2002-05-01,Paper manufacturing,,,,0,3028000000.0
2002-05-01,Printing and related support activities,,,,0,1089000000.0
2002-05-01,Petroleum and coal products manufacturing,,,,0,5481000000.0
2002-05-01,Chemical manufacturing,,,,0,4882000000.0
2002-05-01,Plastics and rubber products manufacturing,,,,0,2716000000.0
2002-05-01,Durable goods,,,,0,30502000000.0
2002-05-01,Wood product manufacturing,,,,0,3020000000.0
2002-05-01,Non-metallic mineral product manufacturing,,,,0,1261000000.0
2002-05-01,Primary metal manufacturing,,,,0,4975000000.0
2002-05-01,Fabricated metal product manufacturing,,,,0,3520000000.0
2002-05-01,Machinery manufacturing,,,,0,2657000000.0
2002-05-01,Computer and electronic product manufacturing,,,,0,1741000000.0
2002-05-01,"Electrical equipment, appliance and component manufacturing",,,,0,1114000000.0
2002-05-01,Transportation equipment manufacturing,,,,0,9712000000.0
2002-05-01,Motor vehicle manufacturing,,,,0,5160000000.0
2002-05-01,Motor vehicle body and trailer manufacturing,,,,0,309000000.0
2002-05-01,Motor vehicle parts manufacturing,,,,0,2619000000.0
2002-05-01,Aerospace product and parts manufacturing,,,,0,923000000.0
2002-05-01,Railroad rolling stock manufacturing,,,,0,377000000.0
2002-05-01,Ship and boat building,,,,0,211000000.0
2002-05-01,Other transportation equipment manufacturing,,,,0,112000000.0
2002-05-01,Furniture and related product manufacturing,,,,0,1400000000.0
2002-05-01,Miscellaneous manufacturing,,,,0,1101000000.0
2002-06-01,"Total, durable and non-durable goods",,,,0,57588000000.0
2002-06-01,Non-durable goods,,,,0,27029000000.0
2002-06-01,Food manufacturing,,,,0,6840000000.0
2002-06-01,Beverage and tobacco product manufacturing,,,,0,1537000000.0
2002-06-01,Textile mills,,,,0,393000000.0
2002-06-01,Textile product mills,,,,0,300000000.0
2002-06-01,Apparel manufacturing,,,,0,680000000.0
2002-06-01,Leather and allied product manufacturing,,,,0,96000000.0
2002-06-01,Paper manufacturing,,,,0,3085000000.0
2002-06-01,Printing and related support activities,,,,0,1105000000.0
2002-06-01,Petroleum and coal products manufacturing,,,,0,5342000000.0
2002-06-01,Chemical manufacturing,,,,0,4869000000.0
2002-06-01,Plastics and rubber products manufacturing,,,,0,2782000000.0
2002-06-01,Durable goods,,,,0,30558000000.0
2002-06-01,Wood product manufacturing,,,,0,3013000000.0
2002-06-01,Non-metallic mineral product manufacturing,,,,0,1268000000.0
2002-06-01,Primary metal manufacturing,,,,0,4733000000.0
2002-06-01,Fabricated metal product manufacturing,,,,0,3492000000.0
2002-06-01,Machinery manufacturing,,,,0,2613000000.0
2002-06-01,Computer and electronic product manufacturing,,,,0,1699000000.0
2002-06-01,"Electrical equipment, appliance and component manufacturing",,,,0,1110000000.0
2002-06-01,Transportation equipment manufacturing,,,,0,10185000000.0
2002-06-01,Motor vehicle manufacturing,,,,0,5274000000.0
2002-06-01,Motor vehicle body and trailer manufacturing,,,,0,317000000.0
2002-06-01,Motor vehicle parts manufacturing,,,,0,2696000000.0
2002-06-01,Aerospace product and parts manufacturing,,,,0,1086000000.0
2002-06-01,Railroad rolling stock manufacturing,,,,0,418000000.0
2002-06-01,Ship and boat building,,,,0,291000000.0
2002-06-01,Other transportation equipment manufacturing,,,,0,103000000.0
2002-06-01,Furniture and related product manufacturing,,,,0,1411000000.0
2002-06-01,Miscellaneous manufacturing,,,,0,1034000000.0
2002-07-01,"Total, durable and non-durable goods",,,,0,57571000000.0
2002-07-01,Non-durable goods,,,,0,27174000000.0
2002-07-01,Food manufacturing,,,,0,6787000000.0
2002-07-01,Beverage and tobacco product manufacturing,,,,0,1511000000.0
2002-07-01,Textile mills,,,,0,387000000.0
2002-07-01,Textile product mills,,,,0,307000000.0
2002-07-01,Apparel manufacturing,,,,0,682000000.0
2002-07-01,Leather and allied product manufacturing,,,,0,88000000.0
2002-07-01,Paper manufacturing,,,,0,3074000000.0
2002-07-01,Printing and related support activities,,,,0,1120000000.0
2002-07-01,Petroleum and coal products manufacturing,,,,0,5505000000.0
2002-07-01,Chemical manufacturing,,,,0,4958000000.0
2002-07-01,Plastics and rubber products manufacturing,,,,0,2756000000.0
2002-07-01,Durable goods,,,,0,30397000000.0
2002-07-01,Wood product manufacturing,,,,0,2987000000.0
2002-07-01,Non-metallic mineral product manufacturing,,,,0,1292000000.0
2002-07-01,Primary metal manufacturing,,,,0,4625000000.0
2002-07-01,Fabricated metal product manufacturing,,,,0,3464000000.0
2002-07-01,Machinery manufacturing,,,,0,2636000000.0
2002-07-01,Computer and electronic product manufacturing,,,,0,1664000000.0
2002-07-01,"Electrical equipment, appliance and component manufacturing",,,,0,1099000000.0
2002-07-01,Transportation equipment manufacturing,,,,0,10175000000.0
2002-07-01,Motor vehicle manufacturing,,,,0,5498000000.0
2002-07-01,Motor vehicle body and trailer manufacturing,,,,0,323000000.0
2002-07-01,Motor vehicle parts manufacturing,,,,0,2737000000.0
2002-07-01,Aerospace product and parts manufacturing,,,,0,940000000.0
2002-07-01,Railroad rolling stock manufacturing,,,,0,370000000.0
2002-07-01,Ship and boat building,,,,0,174000000.0
2002-07-01,Other transportation equipment manufacturing,,,,0,133000000.0
2002-07-01,Furniture and related product manufacturing,,,,0,1432000000.0
2002-07-01,Miscellaneous manufacturing,,,,0,1024000000.0
2002-08-01,"Total, durable and non-durable goods",,,,0,57889000000.0
2002-08-01,Non-durable goods,,,,0,27421000000.0
2002-08-01,Food manufacturing,,,,0,6845000000.0
2002-08-01,Beverage and tobacco product manufacturing,,,,0,1519000000.0
2002-08-01,Textile mills,,,,0,386000000.0
2002-08-01,Textile product mills,,,,0,323000000.0
2002-08-01,Apparel manufacturing,,,,0,687000000.0
2002-08-01,Leather and allied product manufacturing,,,,0,93000000.0
2002-08-01,Paper manufacturing,,,,0,3068000000.0
2002-08-01,Printing and related support activities,,,,0,1097000000.0
2002-08-01,Petroleum and coal products manufacturing,,,,0,5645000000.0
2002-08-01,Chemical manufacturing,,,,0,4941000000.0
2002-08-01,Plastics and rubber products manufacturing,,,,0,2815000000.0
2002-08-01,Durable goods,,,,0,30468000000.0
2002-08-01,Wood product manufacturing,,,,0,3106000000.0
2002-08-01,Non-metallic mineral product manufacturing,,,,0,1337000000.0
2002-08-01,Primary metal manufacturing,,,,0,4640000000.0
2002-08-01,Fabricated metal product manufacturing,,,,0,3552000000.0
2002-08-01,Machinery manufacturing,,,,0,2678000000.0
2002-08-01,Computer and electronic product manufacturing,,,,0,1633000000.0
2002-08-01,"Electrical equipment, appliance and component manufacturing",,,,0,1093000000.0
2002-08-01,Transportation equipment manufacturing,,,,0,9997000000.0
2002-08-01,Motor vehicle manufacturing,,,,0,5243000000.0
2002-08-01,Motor vehicle body and trailer manufacturing,,,,0,331000000.0
